timestamp,total_memory,java_heap,native_heap,code,stack,graphics
1709824575,756972,48664,352316,90456,2644,243516
1709824607,767740,52784,353504,90456,2620,248996
1709824639,751637,47808,347180,90448,2620,244208
1709824671,751197,47708,346844,90448,2620,244208
1709824703,789273,48024,347756,90448,2620,281056
1709824735,747869,48424,346908,90448,2620,240096
1709824767,746865,48472,347904,90448,2620,238048
1709824799,746537,49372,348872,90448,2620,235852
1709824832,749669,49932,353568,90448,2620,233724
1709824864,773939,59412,358752,90104,2644,243688
1709824896,773739,54152,359696,90104,2644,247804
1709824928,818350,54660,363828,90104,2620,287804
1709824960,831339,56716,374688,90096,2620,287900
1709824992,835666,53192,372968,90048,2620,297516
1709825024,786664,63356,368572,90052,2744,242584
1709825056,781440,60740,364876,90048,2716,243616
1709825089,773004,53152,363768,90044,2620,244024
1709825121,845152,64176,374916,90048,2712,293852
1709825153,821416,62988,371232,90048,2664,275040
1709825186,808852,63012,378040,90044,2748,255592
1709825218,802988,56688,374448,90044,2688,259712
1709825250,804312,56916,375608,90044,2620,259712
1709825282,849924,55724,375952,90044,2620,306172
1709825315,826120,57208,381924,90044,2620,274912
1709825347,833428,64964,383260,90044,2620,273120
1709825379,876640,80112,408880,90044,2724,275388
1709825411,842804,65628,391068,90044,2664,273932
1709825444,896703,80952,416776,90036,2724,286752
1709825476,869075,68252,406028,90040,2688,282608
1709825508,870499,62740,404716,90040,2644,290932
1709825540,868239,63064,404364,90040,2620,288728
1709825573,931752,83808,434392,89936,2724,301372
1709825605,965890,82588,449716,89896,2716,321452
1709825637,936418,70204,432752,89896,2668,321452
1709825669,932202,65164,433652,89896,2624,321452
1709825701,927925,64744,433652,89896,2624,317596
1709825734,927229,64092,432840,89896,2624,318364
1709825766,944437,63828,433308,89896,2648,335344
1709825798,921777,64556,433632,89896,2648,311632
1709825830,921825,64024,434236,89896,2624,311632
1709825862,925173,66712,434892,89896,2624,311632
1709825894,928485,66312,435080,89896,2636,315144
1709825927,924037,64160,432640,89896,2640,315276
1709825959,933053,64996,433864,89896,2640,322236
1709825991,959081,64444,435868,89896,2640,346812
1709826023,936361,65724,436440,89896,2640,322236
1709826055,964421,65944,436856,89896,2672,349628
1709826087,965125,67080,438164,89896,2672,347836
1709826119,942061,65872,440372,89896,2672,323772
1709826151,945245,66148,441516,89896,2648,325568
1709826184,948341,67632,441572,89896,2648,327124
1709826216,948036,66620,442024,89896,2648,327380
1709826248,948788,66628,442512,89896,2648,327636
1709826280,952449,68860,443172,89896,2648,328404
1709826312,954745,67520,445012,89896,2648,330200
1709826344,953469,67184,443032,89896,2672,331212
1709826376,954757,66008,443688,89896,2672,333012
1709826409,957593,67728,444036,89896,2672,333780
1709826441,983433,66860,443796,89896,2648,360760
1709826473,958377,66076,444100,89896,2648,336184
1709826505,960345,66896,444992,89896,2648,336440
1709826537,963665,66696,446716,89896,2648,338236
1709826569,968753,68772,448928,89896,2648,339036
1709826601,972585,68264,452756,89896,2648,339548
1709826633,973205,68784,452064,89896,2672,340316
1709826665,974881,68624,451588,89896,2672,342620
1709826697,974861,69352,449048,89896,2672,344412
1709826729,977281,68880,451456,89896,2648,344924
1709826761,977621,67580,452064,89896,2648,345960
1709826793,984625,68040,455276,89896,2648,349292
1709826825,1005503,69040,456428,89916,2664,367980
1709826857,992263,69516,460696,89916,2664,350036
1709826889,997947,71912,461756,89916,2664,352300
1709826921,995915,69668,462472,89916,2664,351792
1709826953,953919,70532,450180,89916,2688,321200
1709826985,946739,68448,448404,89916,2688,317876
1709827017,950053,69080,450144,89916,2688,318820
1709827049,940591,68848,450004,89864,2664,309824
1709827081,945899,69240,451424,89864,2664,313320
1709827113,945711,70348,452304,89864,2664,311140
1709827145,964071,75728,455284,89864,2664,321132
1709827177,961703,73360,457304,89864,2688,319092
1709827209,958595,72192,455364,89864,2688,319092
1709827242,966343,77396,458924,89864,2664,318088
1709827273,975955,71656,452460,89864,2688,339884
1709827305,957455,71324,452084,89864,2688,322096
1709827337,955511,70812,452596,89864,2664,320176
1709827369,955483,71016,452624,89864,2664,319916
1709827401,972987,71164,452696,89864,2664,337200
1709827433,973060,71336,454400,89820,2664,335524
1709827465,959056,72720,455400,89820,2664,319136
1709827497,959527,73048,455424,89788,2688,319268
1709827529,951491,72880,455068,89788,2688,311756
1709827561,955653,73484,456596,89788,2664,313812
1709827593,979669,72592,455884,89788,2664,339436
1709827625,960157,72232,454948,89788,2664,321224
1709827657,982093,72576,455508,89788,2664,342252
1709827689,967741,75460,456472,89800,2664,324080
1709827721,987441,73916,456780,89796,2664,345032
1709827754,963689,73148,455680,89800,2664,323140
1709827786,964325,73340,455680,89800,2688,323564
1709827818,966309,73512,457492,89800,2688,323564
1709827850,972693,78184,458208,89776,2688,324576
1709827882,971341,76012,458888,89772,2688,324704
1709827914,975805,77716,459112,89772,2664,327264
1709827946,1014405,95564,466156,89772,2756,340760
1709827978,965949,80508,449192,89772,2708,324376
1709828010,956129,77572,448652,89772,2664,318088
1709828043,985325,85480,461412,89788,2768,326480
1709828075,979777,80284,457312,89788,2732,330260
1709828107,995881,81184,456080,89788,2664,346772
1709828139,978553,80132,455780,89788,2688,330772
1709828171,996108,86696,464572,89784,2792,332856
1709828204,996728,82872,457280,89784,2732,344644
1709828236,1008028,91696,472104,89784,2756,332244
1709828268,1011856,85916,465256,89812,2708,348724
1709828300,1015340,90220,476652,89812,2756,336480
1709828332,1042718,99472,488068,88088,2756,345168
1709828365,1019818,86344,478308,88088,2708,345212
1709828397,1035334,85632,482468,88088,2664,357360
1709828429,1067354,96592,497080,88132,2756,363700
1709828461,1035610,87120,489172,88132,2732,349364
1709828494,1038002,85852,488988,88092,2688,353332
1709828526,1037850,87156,487408,88092,2664,353480
1709828558,1035494,85216,486976,88092,2664,353488
1709828590,1055784,95936,495412,88092,2768,354436
1709828623,1037824,90472,487092,88092,2708,350324
1709828655,1042520,91384,490916,88096,2664,350328
